team,lat,lng,expire_time
,19.563265,-99.085629,0
,19.567702,-99.087355,0
,19.567425,-99.088544,0
,19.569251,-99.087589,0
,19.565943,-99.08782,0
,19.566616,-99.085254,0
,19.388284,-99.213209,0
,19.397918,-99.221547,0
,19.397199,-99.220961,0
,19.38679,-99.218726,0
,19.39784,-99.221991,0
,19.397376,-99.220357,0
,19.387701,-99.215869,0
,19.396059,-99.222394,0
,19.398085,-99.2214,0
,19.398999,-99.220442,0
,19.398155,-99.220427,0
,19.398797,-99.214995,0
,19.398388,-99.219375,0
,19.389771,-99.222389,0
,19.39801,-99.222281,0
,19.386827,-99.217454,0
,19.611813,-99.026401,0
,19.623291,-99.024226,0
,19.615838,-99.026007,0
,19.623941,-99.02443,0
,19.61504,-99.024624,0
,19.625526,-99.023059,0
,19.385624,-99.225395,0
,19.386312,-99.224091,0
,19.308101,-98.963648,0
,19.605112,-99.032602,0
,19.606358,-99.030601,0
,19.607372,-99.029216,0
,19.607147,-99.030218,0
,19.540451,-99.01959,0
,19.543247,-99.015716,0
,19.534612,-99.016382,0
,19.541527,-99.02261,0
,19.544421,-99.018253,0
,19.619194,-99.041904,0
,19.623725,-99.043975,0
,19.613802,-99.038747,0
,19.399107,-99.207532,0
,19.396577,-99.211639,0
,19.394179,-99.210516,0
,19.399885,-99.203441,0
,19.390425,-99.206629,01:04:56
,19.389534,-99.210486,0
,19.399142,-99.20656,0
,19.399299,-99.201081,0
,19.396913,-99.206953,0
,19.382895,-99.207658,0
,19.399362,-99.204433,0
,19.402103,-99.204719,0
,19.389611,-99.210676,0
,19.40038,-99.202348,0
,19.398534,-99.201307,0
,19.402634,-99.202129,0
,19.501689,-99.057744,0
,19.487246,-99.058503,0
,19.489765,-99.07177,0
,19.495365,-99.060327,0
,19.493474,-99.067337,0
,19.493851,-99.068076,0
,19.523253,-99.02123,0
,19.527627,-99.019435,0
,19.522945,-99.023733,0
,19.521564,-99.022798,0
,19.530713,-99.020623,0
,19.523754,-99.016917,0
,19.53124,-99.024092,0
,19.523471,-99.019647,0
,19.524141,-99.022498,0
,19.529879,-99.024897,0
,19.532443,-99.02473,0
,19.526919,-99.02568,0
,19.522668,-99.022201,0
,19.531078,-99.023007,0
,19.529301,-99.029008,0
,19.526759,-99.014626,0
,19.525175,-99.019153,0
,19.524051,-99.022807,0
,19.528747,-99.028227,0
,19.525164,-99.025026,0
,19.530173,-99.024241,0
,19.524847,-99.022861,0
,19.524453,-99.017803,0
,19.526134,-99.018509,0
,19.528904,-99.022482,0
,19.532381,-99.026806,0
,19.522004,-99.017542,0
,19.525882,-99.024549,0
,19.531807,-99.023921,0
,19.523557,-99.022109,0
,19.522916,-99.019961,0
,19.523194,-99.019822,0
,19.530106,-99.023253,0
,19.530413,-99.027144,0
,19.523113,-99.022819,0
,19.524579,-99.022374,0
,19.522632,-99.021665,0
,19.531569,-99.023556,0
,19.522195,-99.021816,0
,19.52562,-99.020843,0
,19.308938,-98.969198,0
,19.309323,-98.969575,0
,19.389666,-99.203495,0
,19.388366,-99.202024,0
,19.389757,-99.204951,0
,19.389647,-99.204369,0
,19.390454,-99.201269,01:07:21
,19.389848,-99.205182,0
,19.389319,-99.20275,0
,19.388773,-99.202356,0
,19.390452,-99.202903,0
,19.490066,-99.07042,0
,19.491108,-99.068536,0
,19.522323,-99.025379,0
,19.522192,-99.025223,0
,19.253419,-99.056371,0
,19.393674,-99.202736,0
,19.533267,-99.027274,0
,19.533884,-99.023948,0
,19.533611,-99.0275,0
,19.473841,-99.059524,0
,19.480554,-99.059632,0
,19.47868,-99.058226,0
,19.473624,-99.05845,0
,19.479271,-99.058581,0
,19.476909,-99.058591,0
,19.469125,-99.059085,0
,19.311062,-98.922259,0
,19.307749,-98.91952,0
,19.316167,-98.92248,0
,19.307678,-98.920588,0
,19.307042,-98.915269,0
,19.307249,-98.915437,0
,19.307348,-98.918577,0
,19.311209,-98.922655,0
,19.309138,-98.919101,0
,19.30886,-98.915255,0
,19.309312,-98.919536,01:23:41
,19.307553,-98.91747,0
,19.312522,-98.919199,0
,19.308783,-98.917253,0
,19.306828,-98.919659,0
,19.307935,-98.9173,0
,19.308008,-98.919796,0
,19.476848,-99.047532,0
,19.476536,-99.05364,0
,19.475293,-99.05653,0
,19.475911,-99.054148,0
,19.476258,-99.046634,0
,19.484312,-99.051121,0
,19.473633,-99.054982,0
,19.473437,-99.052056,0
,19.476958,-99.056916,0
,19.47624,-99.054951,0
,19.475579,-99.046219,0
,19.474342,-99.0548,0
,19.474594,-99.046846,0
,19.474193,-99.046432,0
,19.474829,-99.05567,0
,19.474625,-99.046551,0
,19.474209,-99.050914,0
,19.363738,-98.994362,0
,19.359495,-98.994613,0
,19.365577,-98.994822,0
,19.36324,-98.993469,0
,19.377668,-98.992175,0
,19.360543,-98.995041,0
,19.309976,-98.912343,0
,19.311149,-98.906028,0
,19.310274,-98.909418,0
,19.309814,-98.913004,0
,19.486434,-99.074882,0
,19.55298,-99.051726,0
,19.548147,-99.049932,0
,19.54999,-99.048723,0
,19.560568,-99.052075,0
,19.554313,-99.050487,0
,19.554866,-99.050027,0
,19.605528,-99.024902,0
,19.604283,-99.026676,0
,19.384146,-99.229964,0
,19.606917,-99.043038,0
,19.601657,-99.00944,0
,19.596856,-99.009371,0
,19.364988,-99.006058,0
,19.447742,-99.158982,0
,19.451728,-99.168993,0
,19.45421,-99.161346,0
,19.455254,-99.159635,0
,19.447521,-99.159624,0
,19.447632,-99.160075,0
,19.447141,-99.157188,0
,19.449589,-99.160018,0
,19.455069,-99.160742,0
,19.450574,-99.16682,0
,19.44955,-99.166692,0
,19.451908,-99.160178,0
,19.453642,-99.163215,0
,19.451194,-99.1585,0
,19.447981,-99.162337,0
,19.452795,-99.165183,0
,19.441723,-99.16751,0
,19.442551,-99.165826,0
,19.445767,-99.160716,0
,19.44358,-99.164758,0
,19.448059,-99.163026,0
,19.452883,-99.167256,0
,19.444911,-99.167425,0
,19.451093,-99.168292,0
,19.443209,-99.165688,0
,19.455434,-99.161808,0
,19.451655,-99.167909,0
,19.44234,-99.163096,0
,19.447336,-99.16148,0
,19.445955,-99.160936,0
,19.447255,-99.158131,0
,19.441487,-99.166486,0
,19.440802,-99.165582,0
,19.4527,-99.169507,0
,19.451762,-99.167362,0
,19.453451,-99.167799,0
,19.447639,-99.167041,0
,19.442835,-99.165379,0
,19.449755,-99.15986,0
,19.445528,-99.167241,0
,19.447908,-99.161941,0
,19.452052,-99.166365,0
,19.450208,-99.157568,0
,19.455083,-99.166016,0
,19.455503,-99.161185,0
,19.450111,-99.157116,0
,19.441785,-99.165386,0
,19.438673,-99.163792,0
,19.444143,-99.162151,0
,19.444483,-99.157747,0
,19.450761,-99.157267,0
,19.441125,-99.16684,0
,19.447162,-99.165974,0
,19.443221,-99.16545,0
,19.444066,-99.164685,0
,19.452247,-99.165419,0
,19.438803,-99.163091,23:56:47
,19.447443,-99.158998,0
,19.452285,-99.160364,0
,19.44194,-99.166015,0
,19.447826,-99.161231,0
,19.448221,-99.164068,0
,19.44235,-99.167409,0
,19.606946,-99.011318,0
,19.449367,-99.172431,0
,19.449226,-99.172614,0
,19.450925,-99.170851,0
,19.449366,-99.171639,0
,19.451369,-99.172703,0
,19.451252,-99.172981,0
,19.451949,-99.172539,0
,19.482666,-99.18338,0
,19.483208,-99.184679,0
,19.481735,-99.185801,0
,19.485233,-99.18226,0
,19.489511,-99.181548,0
,19.485831,-99.182002,0
,19.487646,-99.179572,0
,19.473501,-99.187133,0
,19.483632,-99.185279,0
,19.477276,-99.185903,0
,19.476283,-99.187222,0
,19.472066,-99.186682,0
,19.484573,-99.183143,0
,19.468234,-99.188671,0
,19.478049,-99.18667,0
,19.489467,-99.186262,0
,19.482086,-99.1836,0
,19.481908,-99.188017,0
,19.486066,-99.186234,0
,19.485579,-99.185311,0
,19.47146,-99.18746,0
,19.472716,-99.18873,0
,19.477093,-99.188636,0
,19.48044,-99.186163,0
,19.479249,-99.188989,0
,19.489329,-99.18327,0
,19.469607,-99.187554,0
,19.479343,-99.189321,0
,19.489057,-99.183882,0
,19.48265,-99.1848,0
,19.477607,-99.185274,0
,19.483832,-99.185256,0
,19.484856,-99.185505,0
,19.467675,-99.188473,0
,19.474755,-99.18712,0
,19.467849,-99.188598,0
,19.472478,-99.18751,0
,19.482792,-99.181424,0
,19.480487,-99.185438,0
,19.489668,-99.178983,0
,19.489414,-99.180549,0
,19.477869,-99.18927,0
,19.4794,-99.188417,0
,19.476676,-99.188276,0
,19.469195,-99.188752,0
,19.487977,-99.181957,0
,19.469873,-99.187551,0
,19.48725,-99.185312,0
,19.483067,-99.186804,0
,19.472656,-99.188404,0
,19.486358,-99.181951,0
,19.48116,-99.18627,0
,19.481104,-99.18734,23:57:42
,19.481381,-99.185677,0
,19.482937,-99.182974,0
,19.478983,-99.189806,0
,19.466067,-99.187654,0
,19.483456,-99.183979,0
,19.480527,-99.186809,0
,19.479083,-99.189145,0
,19.478118,-99.186282,0
,19.540816,-99.068149,0
,19.37099,-99.009461,0
,19.484808,-99.050068,0
,19.489584,-99.056914,0
,19.485787,-99.049914,0
,19.485048,-99.050979,01:18:21
,19.49057,-99.046847,0
,19.593307,-98.997283,0
,19.454518,-99.172441,0
,19.453935,-99.170815,0
,19.454808,-99.172688,0
,19.453695,-99.172084,0
,19.452889,-99.171937,0
,19.491166,-99.186291,0
,19.490173,-99.186618,0
,19.491393,-99.188328,0
,19.492082,-99.184736,0
,19.328678,-99.106787,0
,19.333865,-99.10875,0
,19.323392,-99.112247,0
,19.321928,-99.101442,0
,19.319573,-99.106169,0
,19.328797,-99.107675,0
,19.318906,-99.109852,0
,19.331757,-99.111684,0
,19.330015,-99.110648,0
,19.331134,-99.111312,0
,19.324944,-99.111594,0
,19.328391,-99.104754,23:55:26
,19.330111,-99.111643,0
,19.328992,-99.10849,0
,19.320271,-99.10616,0
,19.322123,-99.102083,0
,19.318428,-99.109229,0
,19.328659,-99.106134,0
,19.319074,-99.105324,0
,19.320583,-99.106217,0
,19.329863,-99.107316,0
,19.324548,-99.112121,0
,19.322082,-99.103014,23:56:43
,19.329182,-99.106471,0
,19.332166,-99.11193,0
,19.332613,-99.10779,0
,19.329043,-99.109641,0
,19.329482,-99.111988,0
,19.32961,-99.11111,0
,19.328343,-99.105005,23:55:28
,19.322883,-99.102847,0
,19.40513,-99.202203,0
,19.404103,-99.202548,0
,19.404843,-99.202261,0
,19.439876,-99.165617,0
,19.438333,-99.166675,0
,19.302272,-99.177907,0
,19.3118,-99.181876,0
,19.305815,-99.168309,00:48:56
,19.303023,-99.178697,0
,19.308273,-99.168201,0
,19.302207,-99.178754,0
,19.309444,-99.179846,0
,19.308259,-99.178221,0
,19.305155,-99.173406,00:50:18
,19.310201,-99.169149,00:48:10
,19.313359,-99.169081,0
,19.309815,-99.169074,0
,19.311962,-99.168416,0
,19.305745,-99.168669,0
,19.309866,-99.169307,0
,19.310528,-99.17272,0
,19.312321,-99.181132,0
,19.308488,-99.17718,0
,19.310882,-99.181259,0
,19.308042,-99.176969,0
,19.30863,-99.171934,00:49:31
,19.306378,-99.169193,00:50:23
,19.307693,-99.169352,0
,19.526915,-99.030407,0
,19.301554,-99.181541,0
,19.30685,-99.174393,0
,19.302249,-99.177292,0
,19.310503,-99.169085,0
,19.312217,-99.180276,0
,19.305736,-99.180568,0
,19.312998,-99.169062,0
,19.307631,-99.180693,0
,19.31202,-99.169974,0
,19.312325,-99.179269,0
,19.302288,-99.178222,0
,19.303662,-99.181729,0
,19.311421,-99.180804,0
,19.308526,-99.169927,0
,19.311438,-99.181997,0
,19.308822,-99.168269,0
,19.302754,-99.184284,0
,19.307119,-99.177915,0
,19.523934,-99.031652,0
,19.401059,-99.2073,0
,19.400728,-99.207858,0
,19.435229,-99.167348,0
,19.435091,-99.166971,0
,19.435129,-99.165742,0
,19.435522,-99.166882,0
,19.324844,-99.107968,0
,19.433071,-99.166044,0
,19.433988,-99.165591,0
,19.432341,-99.166848,0
,19.470041,-99.17171,0
,19.475288,-99.175494,0
,19.610453,-99.019194,0
,19.592889,-99.020287,0
,19.615824,-99.01807,0
,19.607847,-99.018232,0
,19.608224,-99.017483,00:05:21
,19.601414,-99.014704,0
,19.606935,-99.016571,0
,19.593214,-99.020125,0
,19.605955,-99.016115,0
,19.597484,-99.018935,0
,19.599798,-99.017194,0
,19.602786,-99.014529,0
