disappear_time,name,lat,lng
2016-07-23T18:58:14Z,Sandshrew,19.605667794294,-98.9818610279041
2016-07-23T18:57:41Z,Paras,19.6068036683992,-98.9812569173535
2016-07-23T18:52:02Z,Doduo,19.6068882650648,-98.9777186485361
2016-07-23T18:55:50Z,Ekans,19.6089816704411,-98.9782364340505
2016-07-23T18:50:15Z,Rhyhorn,19.6082229820434,-98.978667924578
2016-07-23T19:01:23Z,Charmander,19.607573678659,-98.978754222967
2016-07-23T18:49:55Z,Pidgey,19.6024740924803,-98.9775460541207
2016-07-23T18:53:06Z,Ponyta,19.6023291775282,-98.9822925382746
2016-07-23T18:53:39Z,Rattata,19.6022526663503,-98.9801350100427
2016-07-23T18:59:35Z,Sandshrew,19.6023448069415,-98.9801350100427
2016-07-23T18:55:46Z,Paras,19.6017477425772,-98.9847090399963
2016-07-23T18:53:05Z,Ponyta,19.6023291775282,-98.9822925382746
2016-07-23T18:51:32Z,Pidgey,19.6065692186139,-98.9841049076224
2016-07-23T18:55:46Z,Rattata,19.6088339146541,-98.9848816500961
2016-07-23T18:55:47Z,Rattata,19.6088339146541,-98.9848816500961
2016-07-23T18:52:03Z,Doduo,19.6068882650648,-98.9777186485361
2016-07-23T18:57:21Z,Meowth,19.6039079166201,-98.9765104955672
2016-07-23T18:54:45Z,Rattata,19.6001576444231,-98.9778049458856
2016-07-18T21:53:37Z,Paras,19.5991635271009,-98.984795344999
2016-07-23T18:51:20Z,Rhyhorn,19.5990713879487,-98.984795344999
2016-07-23T18:50:16Z,Pidgey,19.5983444777636,-98.9864351579971
2016-07-23T19:00:57Z,Paras,19.5993580045243,-98.9864351579971
2016-07-23T19:01:01Z,Abra,19.5993536914255,-98.9865214648889
2016-07-23T18:55:38Z,Rattata,19.599248613043,-98.9867803861311
2016-07-23T18:51:16Z,Pidgey,19.6019696445888,-98.9876434630773
2016-07-23T18:56:45Z,Pidgey,19.6008726042466,-98.9874708469325
2016-07-23T18:59:19Z,Primeape,19.6040225958652,-98.9871256157762
2016-07-18T21:53:37Z,Mankey,19.6068875602362,-98.9869530007648
2016-07-23T18:50:13Z,Geodude,19.6067781608395,-98.9872982311655
2016-07-23T18:53:55Z,Pidgey,19.6088037156547,-98.9854857884211
2016-07-23T19:03:30Z,Rattata,19.6098403675731,-98.9868666934007
2016-07-23T19:03:58Z,Rattata,19.6115478849352,-98.9877297712914
2016-07-23T18:52:40Z,Ekans,19.610682580099,-98.9866077718752
2016-07-23T18:54:44Z,Eevee,19.6107704056579,-98.9866940789559
2016-07-23T18:59:54Z,Pidgey,19.6095035284577,-98.9880750050921
2016-07-23T19:03:59Z,Rattata,19.6115478849352,-98.9877297712914
2016-07-23T18:52:41Z,Ekans,19.610682580099,-98.9866077718752
2016-07-23T18:55:45Z,Rattata,19.6088339146541,-98.9848816500961
2016-07-23T18:56:44Z,Rattata,19.6097337526329,-98.9853131769988
2016-07-23T18:57:45Z,Ekans,19.6097015654508,-98.9785816262835
2016-07-23T18:50:31Z,Rattata,19.6117718061663,-98.9777186485361
2016-07-23T18:51:56Z,Arbok,19.6120611662341,-98.9774597570548
2016-07-23T18:53:45Z,Paras,19.6117512903758,-98.9744394192914
2016-07-23T18:54:30Z,Doduo,19.6091454324747,-98.9749571832561
2016-07-23T18:54:16Z,Abra,19.6095441636059,-98.9743531256281
2016-07-23T18:54:29Z,Doduo,19.6091454324747,-98.9749571832561
2016-07-23T19:00:56Z,Zubat,19.6067987836692,-98.9758201307593
2016-07-23T18:54:09Z,Rattata,19.6070579750062,-98.9761653124071
2016-07-23T18:59:53Z,Rattata,19.6037434969192,-98.9742668320594
2016-07-23T18:52:39Z,Zubat,19.6034670711433,-98.9742668320594
2016-07-23T19:03:04Z,Pidgey,19.6059264169042,-98.9766830877143
2016-07-23T18:57:19Z,Meowth,19.6039079166201,-98.9765104955672
2016-07-23T19:04:19Z,Pidgey,19.6022433849139,-98.9747845948898
2016-07-23T18:53:16Z,Rattata,19.6009663252221,-98.9745257130492
2016-07-18T21:53:37Z,Mankey,19.5983200688412,-98.9740079519203
2016-07-23T18:50:57Z,Spearow,19.5984354462451,-98.9753886558262
2016-07-23T19:04:00Z,Pidgey,19.5973745216538,-98.9763379037981
2016-07-23T18:53:06Z,Paras,19.5967450617139,-98.9741805385852
2016-07-23T18:50:54Z,Zubat,19.5954077275369,-98.9751297720006
2016-07-23T19:05:16Z,Sandshrew,19.5947498272483,-98.9753886558262
2016-07-23T19:03:51Z,Ekans,19.5958615122802,-98.9771145697361
2016-07-23T18:58:12Z,Spearow,19.5956573654294,-98.979358314336
2016-07-23T18:54:50Z,Pidgey,19.5953685890512,-98.9851405659543
2016-07-23T18:53:59Z,Doduo,19.594342132822,-98.9853994826627
2016-07-23T18:58:17Z,Rattata,19.5965969523258,-98.9900601287687
2016-07-23T19:00:37Z,Nidoran♂,19.5959865025572,-98.9893696453021
2016-07-23T18:53:56Z,Sandshrew,19.5955489222102,-98.9907506182786
2016-07-18T21:53:35Z,Rattata,19.5986816032168,-98.9907506182786
2016-07-23T18:53:06Z,Rhyhorn,19.6015724127013,-98.9900601287687
2016-07-23T19:01:45Z,Eevee,19.6033575736678,-98.9893696453021
2016-07-23T18:55:25Z,Rattata,19.6052968128352,-98.9892833352938
2016-07-23T19:00:10Z,Geodude,19.6053658584274,-98.9879023880028
2016-07-23T19:02:22Z,Rapidash,19.6062052597603,-98.9895422656022
2016-07-23T19:04:29Z,Pinsir,19.6069236045421,-98.9880750050921
