disappear_time,name,lat,lng,id
1.468997300095446e+09,Zubat,19.638518101726998,-99.19920747684952,41
1.468997363095432e+09,Mankey,19.638522537889287,-99.19912093920506,56
1.468997756095451e+09,Caterpie,19.638320582633014,-99.19946709034141,10
1.468997991974999e+09,Zubat,19.642133454493546,-99.1969575283437,41
1.468997943014385e+09,Rhyhorn,19.64020598825552,-99.20041901364479,111
1.468997338840737e+09,Growlithe,19.63650169638182,-99.19721713457531,58
1.468997512754521e+09,Zubat,19.634523143510094,-99.19808249473125,41
1.468997901754881e+09,Spearow,19.634182617366708,-99.20292868360279,21
1.468997269754868e+09,Caterpie,19.634371262328443,-99.20284214195664,10
1.468997487014371e+09,Geodude,19.63957899940504,-99.20007285841332,74
1.468997428798611e+09,Geodude,19.637771323762266,-99.20119786835988,74
1.468997776820011e+09,Arbok,19.645308382983277,-99.19790942195539,24
1.468997886895347e+09,Ponyta,19.643714876482765,-99.20024593584293,77
1.468997766819997e+09,Rattata,19.64281707263907,-99.19799595829679,19
1.468997663798631e+09,Sandshrew,19.63748061070414,-99.2032748511179,27
1.468997306798637e+09,Zubat,19.637051155275277,-99.20266905894347,41
1.468997630798625e+09,Zubat,19.637942221528792,-99.20145748827338,41
1.468997537759866e+09,Mankey,19.63972662530087,-99.20258251757646,56
1.468997903895317e+09,Abra,19.643346452871203,-99.20024593584293,63
1.468997934713949e+09,Pidgeotto,19.643305407350823,-99.20284214195664,17
1.468997608699642e+09,Pikachu,19.6408460001672,-99.19332312907682,25
1.468998041741729e+09,Paras,19.645402578697144,-99.19427497967753,46
1.468997457699708e+09,Eevee,19.63963430978459,-99.19539990854832,133
1.468997758569006e+09,Cubone,19.63261111887138,-99.19764981348972,104
1.468998081719281e+09,Ekans,19.63476600577374,-99.1951403081816,23
1.468997663752218e+09,Pidgey,19.636985406363923,-99.19496724173597,16
1.468997904293707e+09,Cubone,19.63361559001299,-99.20500571102416,104
1.468997539420774e+09,Ekans,19.632630166827965,-99.20266905894347,23
1.468997303293693e+09,Graveler,19.634102736740513,-99.20448644914455,75
1.468997582411973e+09,Clefairy,19.636344293500386,-99.20388064785166,35
1.468998137420786e+09,Geodude,19.632708959237963,-99.20292868360279,74
1.468997357491461e+09,Diglett,19.63199641001478,-99.19886132683006,50
1.468997545374226e+09,Zubat,19.6327910995427,-99.20491916714496,41
1.468997601420793e+09,Cubone,19.63132846856316,-99.20111132857485,104
1.46899817756902e+09,Eevee,19.63221609526319,-99.1981690312588,133
1.468998016420804e+09,Pidgey,19.631274162885934,-99.20396719061436,16
1.468997837491449e+09,Nidoran♂,19.633180460330284,-99.19912093920506,32
1.468998098411968e+09,Clefairy,19.63864577716161,-99.20569806540699,35
1.468998084420799e+09,Mankey,19.63067381246562,-99.20310176717425,56
1.468997299719302e+09,Geodude,19.634407429769386,-99.19315006654166,74
1.468997890411956e+09,Ekans,19.63851928158929,-99.20457299255857,23
1.468997547172942e+09,Geodude,19.647034030084342,-99.20197673061294,74
1.468997606347244e+09,Growlithe,19.640299211741684,-99.20578461012349,58
1.468997786226902e+09,Pidgey,19.64722928382297,-99.20535188747131,16
1.468997482226867e+09,Pidgey,19.644957733947617,-99.20474607966568,16
1.468997571226886e+09,Ekans,19.64686974385791,-99.20517879906166,23
1.46899800222691e+09,Pidgey,19.645149672357263,-99.20639042574385,16
1.468998161275011e+09,Eevee,19.642913661031997,-99.2050922549964,133
1.468997838347268e+09,Eevee,19.641488821937347,-99.20414027641894,133
1.468997528172964e+09,Rattata,19.645195226764343,-99.20370756260536,19
1.46899815434728e+09,Geodude,19.639676681582486,-99.20535188747131,74
1.4689977121213e+09,Cubone,19.646474710864194,-99.1985151782998,104
1.468997779084313e+09,Arbok,19.645308382983277,-99.19790942195539,24
1.46899768512132e+09,Rattata,19.648017240874573,-99.20076517036532,19
1.46899732612134e+09,Geodude,19.64818923927646,-99.19920747684952,74
1.468997922018174e+09,Paras,19.646108392538114,-99.1948807086528,46
1.468997343018162e+09,Abra,19.645652290973793,-99.19479417566275,63
1.46899804201818e+09,Paras,19.645402578697144,-99.19427497967753,46
1.46899787712133e+09,Exeggcute,19.6471105835147,-99.19868825237877,102
1.468998008943192e+09,Pidgey,19.642504915270862,-99.1915059910345,16
1.46899784778648e+09,Ekans,19.63379466158528,-99.19072723015925,23
1.468997429786464e+09,Ekans,19.63357057198829,-99.1915059910345,23
1.468998051786474e+09,Ekans,19.632514039296122,-99.19055417321137,23
1.468998029801453e+09,Geodude,19.636022935208143,-99.19038111663602,74
1.468998017714369e+09,Ekans,19.629000739249093,-99.19081375877288,23
1.468997933702307e+09,Rattata,19.629738151871397,-99.19799595829679,19
1.468998085714311e+09,Mankey,19.62969770991799,-99.19159252048627,56
1.468997550714357e+09,Pidgey,19.629982886212186,-99.19141946167586,16
1.468997473756951e+09,Ekans,19.6295248905766,-99.19496724173597,23
1.468997890714346e+09,Venonat,19.62979424544398,-99.1915059910345,48
1.468997856688238e+09,Mankey,19.628607301363107,-99.1966979229499,56
1.46899751770233e+09,Ekans,19.629794783297825,-99.19868825237877,23
1.468997460702281e+09,Exeggcute,19.62792167180237,-99.19929401458708,102
1.468998039714334e+09,Growlithe,19.629951872831754,-99.19202516914196,58
1.468998030688251e+09,Pidgey,19.629783474840096,-99.19531337499966,16
1.468998086702255e+09,Sandshrew,19.62794827632365,-99.19877478955787,27
1.46899781870237e+09,Pidgey,19.62897813180091,-99.20024593584293,16
1.468998141702319e+09,Sandshrew,19.629343132665717,-99.1985151782998,27
