team,lat,lng,points
2,19.293617,-99.185368,6200
1,19.297307,-99.181881,3000
2,19.442595,-99.18933,2000
1,19.312173,-98.898221,6000
2,19.470609,-99.046091,6000
2,19.469692,-99.043536,4000
1,19.521333,-99.033347,5691
2,19.475292,-99.079191,3154
1,19.48034,-99.078463,10226
2,19.289318,-98.920947,5091
2,19.610936,-99.022208,2000
1,19.253182,-99.116306,6000
1,19.256585,-99.109458,4500
2,19.33903,-99.107899,4000
1,19.335315,-99.104379,2000
1,19.54952,-99.032703,21922
2,19.340165,-99.09965,13114
1,19.356398,-99.005795,2000
1,19.261299,-99.127729,7371
1,19.581749,-99.033202,7079
2,19.463084,-99.147919,938
2,19.586343,-99.021977,3000
2,19.488746,-99.165887,3500
1,19.377811,-99.010191,10215
3,19.591057,-99.021089,3500
3,19.467996,-99.175998,10719
1,19.413583,-99.188271,4874
1,19.50399,-99.043692,15754
1,19.501828,-99.042415,2000
2,19.502349,-99.046191,2959
1,19.508447,-99.039619,4000
2,19.444976,-99.179178,10421
2,19.323873,-99.118908,10872
2,19.445089,-99.170578,6226
2,19.444265,-99.173671,6641
2,19.337539,-99.122547,5000
3,19.328573,-99.118006,2000
2,19.332694,-99.112997,2674
1,19.555941,-99.026188,4000
2,19.555961,-99.018901,10566
2,19.546455,-99.023003,500
2,19.550376,-99.015278,625
3,19.416509,-99.16968,2000
1,19.601907,-99.034442,6122
2,19.499941,-99.037745,14501
2,19.486296,-99.035687,8327
2,19.494066,-99.043596,1093
2,19.354607,-98.995169,6250
2,19.352166,-99.000433,6000
1,19.416818,-99.180773,10358
2,19.538818,-99.075502,6063
2,19.532102,-99.076389,22535
2,19.532927,-99.069189,8686
2,19.349367,-99.003195,4666
2,19.348069,-98.996754,5000
1,19.452748,-98.899707,7319
1,19.45382,-98.889005,20823
1,19.362398,-99.201725,10975
1,19.382041,-99.199871,4000
1,19.372805,-99.196209,15227
2,19.330291,-98.947595,9017
2,19.373811,-98.970067,2000
3,19.363648,-99.220947,1500
1,19.383836,-99.197138,17718
1,19.371202,-99.193559,6459
