lat,lng
19.563265,-99.085629
19.567702,-99.087355
19.567425,-99.088544
19.569251,-99.087589
19.565943,-99.08782
19.566616,-99.085254
19.388284,-99.213209
19.397918,-99.221547
19.397199,-99.220961
19.38679,-99.218726
19.39784,-99.221991
19.397376,-99.220357
19.387701,-99.215869
19.396059,-99.222394
19.398085,-99.2214
19.398999,-99.220442
19.398155,-99.220427
19.398797,-99.214995
19.398388,-99.219375
19.389771,-99.222389
19.39801,-99.222281
19.386827,-99.217454
19.611813,-99.026401
19.623291,-99.024226
19.615838,-99.026007
19.623941,-99.02443
19.61504,-99.024624
19.625526,-99.023059
19.385624,-99.225395
19.386312,-99.224091
19.308101,-98.963648
19.605112,-99.032602
19.606358,-99.030601
19.607372,-99.029216
19.607147,-99.030218
19.540451,-99.01959
19.543247,-99.015716
19.534612,-99.016382
19.541527,-99.02261
19.544421,-99.018253
19.619194,-99.041904
19.623725,-99.043975
19.613802,-99.038747
19.399107,-99.207532
19.396577,-99.211639
19.394179,-99.210516
19.399885,-99.203441
19.390425,-99.206629
19.389534,-99.210486
19.399142,-99.20656
19.399299,-99.201081
19.396913,-99.206953
19.382895,-99.207658
19.399362,-99.204433
19.402103,-99.204719
19.389611,-99.210676
19.40038,-99.202348
19.398534,-99.201307
19.402634,-99.202129
19.501689,-99.057744
19.487246,-99.058503
19.489765,-99.07177
19.495365,-99.060327
19.493474,-99.067337
19.493851,-99.068076
19.523253,-99.02123
19.527627,-99.019435
19.522945,-99.023733
19.521564,-99.022798
19.530713,-99.020623
19.523754,-99.016917
19.53124,-99.024092
19.523471,-99.019647
19.524141,-99.022498
19.529879,-99.024897
19.532443,-99.02473
19.526919,-99.02568
19.522668,-99.022201
19.531078,-99.023007
19.529301,-99.029008
19.526759,-99.014626
19.525175,-99.019153
19.524051,-99.022807
19.528747,-99.028227
19.525164,-99.025026
19.530173,-99.024241
19.524847,-99.022861
19.524453,-99.017803
19.526134,-99.018509
19.528904,-99.022482
19.532381,-99.026806
19.522004,-99.017542
19.525882,-99.024549
19.531807,-99.023921
19.523557,-99.022109
19.522916,-99.019961
19.523194,-99.019822
19.530106,-99.023253
19.530413,-99.027144
19.523113,-99.022819
19.524579,-99.022374
19.522632,-99.021665
19.531569,-99.023556
19.522195,-99.021816
19.52562,-99.020843
19.308938,-98.969198
19.309323,-98.969575
19.389666,-99.203495
19.388366,-99.202024
19.389757,-99.204951
19.389647,-99.204369
19.390454,-99.201269
19.389848,-99.205182
19.389319,-99.20275
19.388773,-99.202356
19.390452,-99.202903
19.490066,-99.07042
19.491108,-99.068536
19.522323,-99.025379
19.522192,-99.025223
19.253419,-99.056371
19.393674,-99.202736
19.533267,-99.027274
19.533884,-99.023948
19.533611,-99.0275
19.473841,-99.059524
19.480554,-99.059632
19.47868,-99.058226
19.473624,-99.05845
19.479271,-99.058581
19.476909,-99.058591
19.469125,-99.059085
19.311062,-98.922259
19.307749,-98.91952
19.316167,-98.92248
19.307678,-98.920588
19.307042,-98.915269
19.307249,-98.915437
19.307348,-98.918577
19.311209,-98.922655
19.309138,-98.919101
19.30886,-98.915255
19.309312,-98.919536
19.307553,-98.91747
19.312522,-98.919199
19.308783,-98.917253
19.306828,-98.919659
19.307935,-98.9173
19.308008,-98.919796
19.476848,-99.047532
19.476536,-99.05364
19.475293,-99.05653
19.475911,-99.054148
19.476258,-99.046634
19.484312,-99.051121
19.473633,-99.054982
19.473437,-99.052056
19.476958,-99.056916
19.47624,-99.054951
19.475579,-99.046219
19.474342,-99.0548
19.474594,-99.046846
19.474193,-99.046432
19.474829,-99.05567
19.474625,-99.046551
19.474209,-99.050914
19.363738,-98.994362
19.359495,-98.994613
19.365577,-98.994822
19.36324,-98.993469
19.377668,-98.992175
19.360543,-98.995041
19.309976,-98.912343
19.311149,-98.906028
19.310274,-98.909418
19.309814,-98.913004
19.486434,-99.074882
19.55298,-99.051726
19.548147,-99.049932
19.54999,-99.048723
19.560568,-99.052075
19.554313,-99.050487
19.554866,-99.050027
19.605528,-99.024902
19.604283,-99.026676
19.384146,-99.229964
19.606917,-99.043038
19.601657,-99.00944
19.596856,-99.009371
19.364988,-99.006058
19.447742,-99.158982
19.451728,-99.168993
19.45421,-99.161346
19.455254,-99.159635
19.447521,-99.159624
19.447632,-99.160075
19.447141,-99.157188
19.449589,-99.160018
19.455069,-99.160742
19.450574,-99.16682
19.44955,-99.166692
19.451908,-99.160178
19.453642,-99.163215
19.451194,-99.1585
19.447981,-99.162337
19.452795,-99.165183
19.441723,-99.16751
19.442551,-99.165826
19.445767,-99.160716
19.44358,-99.164758
19.448059,-99.163026
19.452883,-99.167256
19.444911,-99.167425
19.451093,-99.168292
19.443209,-99.165688
19.455434,-99.161808
19.451655,-99.167909
19.44234,-99.163096
19.447336,-99.16148
19.445955,-99.160936
19.447255,-99.158131
19.441487,-99.166486
19.440802,-99.165582
19.4527,-99.169507
19.451762,-99.167362
19.453451,-99.167799
19.447639,-99.167041
19.442835,-99.165379
19.449755,-99.15986
19.445528,-99.167241
19.447908,-99.161941
19.452052,-99.166365
19.450208,-99.157568
19.455083,-99.166016
19.455503,-99.161185
19.450111,-99.157116
19.441785,-99.165386
19.438673,-99.163792
19.444143,-99.162151
19.444483,-99.157747
19.450761,-99.157267
19.441125,-99.16684
19.447162,-99.165974
19.443221,-99.16545
19.444066,-99.164685
19.452247,-99.165419
19.438803,-99.163091
19.447443,-99.158998
19.452285,-99.160364
19.44194,-99.166015
19.447826,-99.161231
19.448221,-99.164068
19.44235,-99.167409
19.606946,-99.011318
19.449367,-99.172431
19.449226,-99.172614
19.450925,-99.170851
19.449366,-99.171639
19.451369,-99.172703
19.451252,-99.172981
19.451949,-99.172539
19.482666,-99.18338
19.483208,-99.184679
19.481735,-99.185801
19.485233,-99.18226
19.489511,-99.181548
19.485831,-99.182002
19.487646,-99.179572
19.473501,-99.187133
19.483632,-99.185279
19.477276,-99.185903
19.476283,-99.187222
19.472066,-99.186682
19.484573,-99.183143
19.468234,-99.188671
19.478049,-99.18667
19.489467,-99.186262
19.482086,-99.1836
19.481908,-99.188017
19.486066,-99.186234
19.485579,-99.185311
19.47146,-99.18746
19.472716,-99.18873
19.477093,-99.188636
19.48044,-99.186163
19.479249,-99.188989
19.489329,-99.18327
19.469607,-99.187554
19.479343,-99.189321
19.489057,-99.183882
